train,train_predict,test,test_predict
182.5,[179.91544],180.5,[179.69547]
177.2,[183.29524],179.4,[172.64319]
229.0,[221.21805],170.5,[169.53462]
171.9,[172.51073],168.5,[172.45699]
148.8,[154.04033],99.7,[152.42973]
164.1,[164.42262],179.9,[184.86118]
211.5,[201.52278],188.8,[183.5772]
172.1,[158.12369],168.6,[165.18504]
166.8,[163.91779],188.4,[192.37029]
184.1,[181.13316],169.2,[170.05003]
158.0,[155.23213],140.0,[147.50565]
217.8,[213.71837],163.9,[158.84303]
167.8,[161.8275],187.4,[183.55385]
159.5,[168.0791],192.1,[180.97147]
163.0,[157.10556],192.2,[186.51434]
156.3,[150.54434],177.4,[178.87627]
162.7,[163.12242],173.3,[174.60559]
188.0,[177.9146],203.5,[198.01604]
198.1,[194.14224],159.7,[184.13979]
171.4,[168.63309],173.7,[173.19313]
196.9,[193.93292],171.8,[165.28847]
181.5,[179.87831],193.7,[190.67714]
208.4,[206.47807],164.0,[157.93935]
169.4,[167.58478],170.4,[168.83788]
204.3,[209.76547],169.2,[171.22812]
162.3,[156.85124],216.5,[216.67027]
200.9,[200.86543],176.9,[167.59097]
193.5,[186.08504],166.7,[173.20746]
146.6,[148.0163],171.5,[174.74384]
169.8,[167.49867],172.1,[170.00812]
171.4,[175.52051],212.8,[219.6873]
183.6,[175.28877],197.8,[195.64459]
167.6,[160.58922],177.8,[176.83035]
216.9,[211.02829],202.2,[192.46765]
184.5,[177.18735],183.4,[176.78706]
177.4,[173.7592],224.5,[222.83214]
177.1,[173.57797],182.4,[176.34062]
164.4,[163.3143],151.5,[154.86128]
166.6,[165.74878],176.6,[170.17508]
184.9,[189.61113],204.8,[207.83705]
178.2,[176.92229],211.5,[215.72221]
160.6,[162.13103],203.8,[203.02734]
174.7,[179.02321],177.6,[180.37817]
220.0,[198.31033],194.8,[191.95831]
179.6,[178.6058],176.5,[171.00122]
217.7,[211.65057],205.0,[208.03311]
205.5,[207.31241],175.0,[173.56998]
195.5,[198.31442],181.6,[183.554]
172.3,[168.12807],194.6,[187.68636]
169.5,[168.10457],216.5,[207.10823]
200.0,[201.77744],176.6,[173.92381]
197.6,[186.99146],205.5,[212.26309]
208.9,[209.35062],175.1,[183.77657]
187.2,[188.17516],158.6,[158.71922]
176.7,[168.63643],196.9,[198.25694]
190.4,[189.01091],188.1,[185.53621]
206.4,[200.81194],185.1,[181.6754]
162.2,[165.65901],188.3,[183.56665]
195.7,[200.96228],178.6,[176.347]
166.1,[159.29474],179.0,[184.32683]
161.9,[167.5662],171.8,[169.15309]
181.8,[169.60507],183.5,[178.20517]
218.2,[215.10742],185.3,[183.17267]
159.4,[160.78024],216.2,[212.81259]
178.8,[175.55551],167.8,[174.97462]
164.8,[167.71321],210.2,[207.88533]
204.5,[200.95665],186.5,[189.14026]
170.1,[169.1205],209.6,[213.75685]
186.9,[182.8747],175.5,[167.81068]
158.8,[160.28503],189.4,[194.2918]
163.6,[166.12225],171.4,[174.94589]
198.5,[203.32288],180.1,[175.2216]
157.0,[151.97359],207.8,[211.65067]
176.5,[179.57164],174.7,[169.91936]
168.8,[165.7012],169.2,[170.35431]
164.3,[164.50357],164.9,[171.31718]
177.5,[179.95682],183.0,[183.9252]
171.9,[166.72963],176.2,[174.97661]
186.0,[188.89409],169.3,[171.51299]
162.6,[164.36528],156.6,[157.60774]
210.6,[210.38765],161.4,[163.78624]
163.7,[168.16586],193.6,[194.20087]
159.2,[157.33112],160.2,[153.59879]
187.1,[178.37881],175.6,[178.94942]
177.8,[177.03452],159.8,[149.9365]
186.0,[179.45009],169.0,[154.89719]
180.9,[186.00647],209.9,[211.35948]
191.2,[183.55235],191.7,[195.97331]
166.3,[164.9191],192.1,[203.73097]
185.7,[187.36981],182.9,[185.44458]
192.0,[202.65718],190.6,[191.82765]
192.4,[204.18466],170.6,[170.33592]
191.8,[191.6437],157.1,[156.80846]
212.2,[215.50569],162.9,[162.40099]
153.5,[153.11307],207.2,[203.84846]
159.7,[164.16927],164.7,[173.52986]
162.5,[168.3911],159.2,[156.88222]
151.9,[158.43007],165.1,[166.7598]
163.3,[159.76382],168.4,[171.40671]
194.7,[189.18414],183.0,[183.01355]
159.3,[156.17564],186.3,[183.95638]
170.6,[166.59953],222.4,[217.29015]
181.9,[174.69064],170.6,[169.50848]
161.1,[162.62914],156.0,[162.28773]
148.5,[165.6539],195.22,[200.36652]
197.6,[202.00089],161.6,[162.43974]
186.7,[178.30798],181.8,[174.76999]
209.7,[202.74219],184.4,[176.09721]
161.5,[171.17236],172.2,[171.43327]
208.0,[203.65382],186.2,[176.02048]
198.2,[197.05833],167.9,[161.50267]
174.8,[175.63132],164.3,[168.79628]
158.0,[155.11086],167.5,[161.2206]
162.6,[155.31837],193.9,[217.07837]
176.0,[177.96361],205.9,[211.03601]
196.0,[188.21758],227.2,[225.19403]
166.7,[176.31998],157.6,[152.19176]
177.6,[174.47205],193.6,[186.49637]
129.7,[154.13713],200.9,[207.46819]
165.0,[166.22105],154.5,[168.49503]
172.6,[164.39922],141.0,[153.40279]
164.5,[163.86674],192.0,[178.65259]
168.8,[163.65678],169.0,[170.60585]
181.9,[177.7881],176.7,[170.68652]
159.1,[159.44121],167.4,[155.54506]
184.6,[185.76991],168.5,[168.59924]
210.3,[210.27046],179.3,[181.69933]
167.5,[171.23448],192.5,[185.85222]
