train,train_predict,test,test_predict
155.3,[160.25035],,
155.8,[156.58186],,
167.1,[172.80498],,
170.5,[166.94437],,
223.6,[216.96461],,
178.7,[201.85402],,
184.7,[175.43217],,
214.7,[209.69978],,
211.7,[209.46588],,
170.8,[175.31052],,
179.9,[176.10043],,
191.2,[197.85521],,
182.0,[170.50665],,
184.0,[187.40102],,
167.1,[169.47758],,
157.2,[156.08669],,
217.7,[213.79231],,
185.6,[179.86934],,
181.1,[179.12471],,
216.1,[211.45407],,
198.6,[192.66441],,
179.5,[169.94518],,
194.7,[184.67847],,
189.2,[194.45569],,
223.5,[219.57384],,
176.7,[178.82797],,
198.9,[197.76456],,
178.8,[179.88554],,
158.6,[169.91042],,
176.8,[183.6452],,
175.5,[172.89922],,
185.0,[190.1277],,
181.8,[176.91724],,
227.2,[208.56973],,
207.5,[211.5969],,
172.0,[178.19786],,
168.1,[164.32486],,
199.4,[193.32018],,
168.3,[166.2478],,
174.5,[172.39706],,
188.4,[182.20935],,
187.1,[174.72237],,
184.2,[183.59328],,
200.8,[196.43204],,
172.4,[165.0794],,
222.2,[223.13698],,
172.1,[162.76776],,
160.5,[160.26288],,
191.8,[177.96419],,
162.5,[161.86452],,
171.9,[177.25023],,
175.8,[180.78075],,
214.1,[219.12816],,
166.0,[155.8213],,
159.6,[160.3972],,
188.6,[181.59123],,
157.0,[161.04247],,
179.7,[177.98306],,
190.2,[191.31482],,
171.9,[171.46425],,
152.9,[159.62196],,
178.3,[179.06209],,
191.4,[198.01094],,
162.5,[154.49394],,
166.3,[160.30115],,
170.2,[169.7037],,
180.7,[166.98042],,
169.1,[174.56206],,
201.5,[203.97887],,
186.5,[187.36096],,
172.9,[167.68933],,
190.1,[191.12308],,
218.2,[216.54077],,
167.3,[164.24042],,
214.0,[205.24696],,
159.7,[153.63553],,
212.7,[207.2804],,
162.2,[170.15941],,
180.9,[177.9953],,
194.6,[195.57166],,
163.5,[162.9552],,
184.4,[180.5372],,
176.3,[178.16934],,
180.3,[174.1016],,
166.0,[165.34456],,
174.7,[175.52863],,
176.6,[168.04744],,
174.7,[172.56519],,
159.6,[160.65689],,
176.5,[176.11389],,
208.8,[203.07782],,
190.1,[177.97331],,
183.2,[173.99738],,
217.1,[211.05058],,
167.6,[163.04437],,
198.0,[202.3585],,
156.5,[170.54549],,
172.7,[169.23018],,
188.0,[189.31343],,
215.0,[198.17723],,
183.7,[186.79074],,
160.1,[152.95355],,
166.8,[170.09032],,
184.9,[177.1264],,
157.9,[150.94121],,
205.0,[205.94171],,
184.1,[187.9468],,
184.9,[187.87184],,
166.3,[164.38167],,
167.1,[165.87161],,
164.4,[165.25548],,
188.5,[187.7121],,
235.0,[214.61703],,
214.3,[213.46346],,
169.2,[163.01176],,
169.2,[170.98343],,
182.4,[182.90738],,
186.2,[189.71164],,
160.4,[156.60666],,
158.9,[157.22153],,
169.7,[165.38814],,
146.8,[153.50743],,
149.4,[148.28654],,
202.9,[199.37743],,
181.6,[179.54991],,
167.8,[160.0785],,
183.2,[175.81752],,
157.6,[165.78635],,
197.1,[187.17006],,
170.6,[173.24706],,
189.7,[190.49721],,
214.5,[212.54283],,
209.8,[211.7143],,
230.5,[186.82869],,
212.0,[209.717],,
161.4,[161.1733],,
196.7,[200.21782],,
211.9,[212.25507],,
176.7,[179.0222],,
183.5,[154.96594],,
169.4,[164.65143],,
206.0,[203.66377],,
169.5,[173.11067],,
195.3,[193.5877],,
154.1,[161.40807],,
195.9,[187.77713],,
169.6,[174.15315],,
119.5,[117.50621],,
187.8,[182.23158],,
213.3,[211.77248],,
185.5,[185.99391],,
210.4,[205.04863],,
170.9,[175.67438],,
184.0,[177.01353],,
157.5,[151.13892],,
152.0,[160.9312],,
160.3,[168.59926],,
167.2,[173.72539],,
176.0,[187.55997],,
177.5,[174.48898],,
214.0,[212.79135],,
201.0,[196.93924],,
184.6,[182.93686],,
186.3,[180.32637],,
193.5,[192.68094],,
171.7,[180.32303],,
189.2,[184.29843],,
197.1,[195.5376],,
170.5,[174.25851],,
175.5,[179.03189],,
177.1,[182.05695],,
161.6,[162.61829],,
203.3,[198.1976],,
183.5,[179.13681],,
159.7,[157.13567],,
175.1,[169.39961],,
207.4,[209.52022],,
150.5,[156.62045],,
179.7,[179.75975],,
183.3,[186.88905],,
157.2,[155.99179],,
165.2,[153.80524],,
164.0,[170.18231],,
164.9,[166.776],,
179.4,[179.94235],,
181.1,[169.38187],,
177.3,[171.30493],,
193.6,[194.95451],,
163.9,[161.36082],,
162.6,[165.65955],,
183.5,[179.91066],,
159.6,[152.86195],,
184.4,[178.26567],,
168.6,[166.26184],,
170.9,[172.10231],,
169.9,[166.59915],,
168.4,[174.89853],,
160.6,[160.46378],,
221.2,[212.18135],,
192.5,[180.44936],,
192.6,[192.92677],,
159.8,[162.34541],,
167.3,[170.61588],,
183.2,[178.99577],,
151.8,[151.59898],,
165.6,[157.62224],,
168.0,[162.44754],,
177.9,[184.03677],,
192.3,[188.4188],,
170.6,[171.82748],,
163.0,[165.83344],,
196.0,[202.06451],,
174.9,[182.02803],,
178.6,[170.93977],,
173.1,[171.30615],,
152.1,[158.87804],,
188.5,[192.17763],,
163.4,[163.6611],,
214.0,[214.135],,
176.4,[175.65773],,
161.9,[159.32262],,
178.8,[173.69344],,
165.4,[163.71223],,
186.0,[192.92677],,
183.2,[182.4317],,
194.5,[187.28561],,
202.8,[202.67691],,
182.0,[177.33565],,
136.2,[161.8353],,
200.7,[201.07468],,
201.3,[197.29314],,
204.2,[210.48811],,
159.4,[158.82928],,
142.9,[160.14853],,
172.6,[170.6476],,
195.8,[199.9482],,
150.3,[155.52217],,
173.9,[170.97543],,
227.0,[220.87991],,
155.6,[156.75708],,
170.0,[169.73961],,
155.6,[164.97667],,
164.9,[163.8273],,
160.3,[157.04286],,
203.1,[211.45741],,
189.3,[191.0343],,
142.3,[166.3951],,
155.8,[150.02197],,
174.0,[170.80362],,
186.6,[184.64658],,
171.0,[173.24532],,
191.3,[176.56068],,
203.1,[198.57423],,
174.4,[168.86311],,
206.3,[207.01462],,
169.2,[162.3558],,
187.3,[189.75444],,
199.7,[201.66557],,
159.9,[152.13353],,
164.5,[166.36168],,
163.8,[170.78667],,
200.0,[183.34532],,
176.9,[177.0112],,
160.2,[164.93797],,
152.8,[153.17873],,
204.9,[216.78394],,
196.0,[196.73184],,
157.0,[152.86304],,
150.4,[162.15933],,
159.9,[158.73613],,
173.3,[169.86345],,
182.7,[177.65532],,
168.1,[167.98529],,
164.6,[165.96857],,
160.7,[158.5567],,
160.4,[150.86255],,
213.6,[212.26378],,
175.4,[170.42923],,
216.2,[217.85509],,
165.7,[158.93771],,
192.9,[167.25824],,
156.9,[152.016],,
169.5,[172.10571],,
159.3,[156.68436],,
171.8,[162.78905],,
169.8,[172.03069],,
183.8,[176.92706],,
169.8,[163.5592],,
213.1,[219.01363],,
164.4,[163.13171],,
145.2,[158.92284],,
164.2,[163.65723],,
195.0,[194.55457],,
163.4,[165.1433],,
159.9,[153.86537],,
172.0,[174.98053],,
175.1,[174.44873],,
195.7,[198.87634],,
207.4,[194.50638],,
193.4,[176.50128],,
151.9,[161.18008],,
176.0,[170.75674],,
197.5,[198.76686],,
175.9,[179.09341],,
190.0,[184.00188],,
184.1,[184.28847],,
170.8,[178.35657],,
234.5,[226.76617],,
206.0,[209.63115],,
177.1,[177.30882],,
192.0,[191.17932],,
203.0,[204.08063],,
168.6,[160.59764],,
165.8,[165.5404],,
164.3,[165.00308],,
198.8,[180.64111],,
197.1,[200.07417],,
153.9,[163.61307],,
153.1,[151.87135],,
159.9,[157.35773],,
167.4,[167.25293],,
194.0,[182.87624],,
183.4,[177.66945],,
188.6,[185.2027],,
178.9,[182.89862],,
175.4,[181.1482],,
201.2,[203.22574],,
186.1,[183.93066],,
178.3,[172.77016],,
183.4,[179.41835],,
190.2,[180.04677],,
155.9,[158.09433],,
101.29999999999998,[131.74846],,
161.2,[159.37312],,
169.4,[169.62505],,
227.3,[223.4677],,
185.2,[179.57932],,
162.3,[154.60907],,
158.0,[160.88516],,
157.2,[161.02736],,
176.9,[174.8973],,
182.9,[176.83672],,
174.8,[179.51488],,
168.5,[170.38712],,
176.8,[178.71884],,
184.6,[179.65303],,
174.6,[173.66228],,
168.8,[174.94719],,
166.6,[162.39699],,
186.6,[182.18091],,
184.6,[179.42754],,
192.9,[188.34868],,
202.5,[201.7039],,
163.7,[158.61823],,
216.9,[212.1825],,
180.8,[175.89159],,
204.3,[201.70831],,
201.8,[191.88881],,
205.7,[194.65424],,
179.7,[180.48212],,
183.9,[183.67075],,
162.9,[159.60954],,
217.3,[214.07886],,
158.3,[154.3798],,
168.1,[157.87904],,
173.4,[177.98692],,
162.5,[162.18407],,
167.0,[164.82239],,
182.0,[180.21347],,
172.1,[164.94026],,
188.3,[186.7212],,
165.4,[155.21007],,
161.8,[157.15685],,
162.3,[159.72432],,
180.6,[177.39139],,
166.7,[163.74115],,
173.9,[170.72165],,
179.7,[175.64523],,
165.0,[180.22902],,
180.2,[180.28403],,
181.9,[173.4179],,
164.8,[164.03467],,
186.6,[182.68117],,
163.1,[170.59155],,
203.1,[205.3855],,
165.16,[174.07362],,
172.2,[163.82623],,
167.5,[164.03967],,
160.1,[158.71114],,
160.1,[151.73352],,
171.6,[173.21951],,
179.6,[182.25168],,
227.0,[221.39198],,
191.0,[196.04268],,
155.5,[149.82559],,
153.1,[165.27885],,
161.5,[159.301],,
184.1,[185.90349],,
171.6,[168.15935],,
200.3,[204.62202],,
145.0,[149.23853],,
145.6,[161.86674],,
214.4,[208.33705],,
191.9,[182.60977],,
198.0,[201.16875],,
166.9,[165.74028],,
182.0,[176.20724],,
118.9,[137.35992],,
216.9,[212.864],,
175.8,[175.1138],,
205.1,[210.41917],,
166.1,[173.4384],,
193.3,[197.66965],,
170.5,[163.7409],,
204.7,[200.51308],,
193.3,[184.8216],,
162.5,[156.88295],,
184.4,[180.62248],,
186.8,[188.81375],,
190.2,[193.13133],,
214.4,[216.57494],,
178.1,[180.02513],,
168.4,[169.17699],,
175.4,[174.64119],,
206.2,[209.03331],,
179.7,[174.65031],,
167.6,[171.4991],,
175.0,[167.97041],,
185.9,[184.37468],,
186.7,[177.7127],,
177.2,[171.55415],,
156.7,[155.62714],,
181.6,[179.5824],,
168.4,[159.19711],,
161.4,[164.88048],,
181.7,[178.69121],,
179.5,[187.46188],,
158.3,[151.50952],,
175.0,[171.24596],,
152.2,[159.07358],,
165.6,[166.13474],,
169.7,[155.1765],,
176.7,[176.37497],,
193.4,[185.70947],,
161.3,[152.59647],,
198.4,[197.60704],,
158.7,[165.5842],,
176.5,[174.33325],,
134.5,[165.66664],,
183.3,[179.13023],,
199.8,[196.72577],,
152.4,[164.53622],,
69.99999999999999,[107.86172],,
166.4,[160.009],,
206.2,[210.4826],,
182.1,[184.72694],,
179.8,[181.17307],,
217.7,[221.65547],,
189.2,[189.35982],,
206.9,[205.57516],,
159.8,[159.2643],,
160.7,[159.20871],,
177.0,[179.377],,
192.8,[203.6103],,
160.2,[163.2952],,
169.7,[181.04994],,
172.5,[170.29416],,
176.4,[180.64352],,
216.8,[210.59172],,
171.7,[170.33246],,
205.4,[202.56854],,
192.4,[193.79495],,
187.8,[186.92485],,
185.0,[184.60909],,
177.1,[174.36871],,
167.0,[156.85574],,
201.4,[201.32442],,
174.4,[163.81921],,
147.1,[152.00168],,
182.0,[188.04306],,
168.5,[174.67361],,
160.9,[161.59464],,
172.3,[162.02757],,
172.4,[171.67746],,
187.1,[177.81638],,
197.5,[189.04396],,
179.5,[181.96819],,
169.7,[173.62889],,
176.8,[174.95422],,
185.6,[178.8772],,
183.6,[173.4796],,
185.1,[188.48218],,
182.0,[177.08118],,
178.8,[178.95728],,
150.6,[161.31389],,
201.2,[210.66635],,
181.4,[183.25237],,
185.5,[186.24783],,
153.6,[155.97615],,
191.2,[186.44688],,
165.2,[175.22925],,
189.3,[183.51573],,
185.1,[179.4146],,
156.5,[160.91985],,
176.6,[180.7713],,
169.8,[171.17285],,
199.7,[195.27924],,
197.2,[197.78748],,
168.4,[177.19627],,
211.0,[209.23329],,
159.5,[153.27545],,
195.9,[192.93152],,
168.1,[158.79857],,
168.9,[172.00763],,
175.3,[174.81242],,
151.0,[153.35835],,
161.8,[163.255],,
175.2,[172.64052],,
156.4,[162.25502],,
197.7,[191.88373],,
196.6,[188.24721],,
174.5,[169.94814],,
169.9,[165.01736],,
189.8,[187.83414],,
168.4,[166.0063],,
157.4,[158.82901],,
187.4,[187.4895],,
170.0,[170.30698],,
181.9,[186.41006],,
167.3,[167.58832],,
167.8,[167.05109],,
170.2,[173.1826],,
178.6,[175.27585],,
184.4,[175.7512],,
180.0,[180.1487],,
175.3,[166.86958],,
165.5,[164.94406],,
157.8,[156.40727],,
188.2,[181.6467],,
163.6,[166.33691],,
187.2,[188.85027],,
169.8,[169.92249],,
191.2,[187.22998],,
151.3,[153.91727],,
155.0,[166.84267],,
157.0,[163.325],,
179.2,[182.11632],,
169.7,[164.61917],,
186.5,[185.13786],,
158.1,[150.35635],,
218.2,[210.75204],,
208.5,[216.86331],,
208.9,[202.20796],,
204.9,[203.47089],,
176.7,[178.75893],,
164.9,[166.73198],,
186.0,[181.5017],,
185.3,[181.84785],,
166.2,[173.10893],,
164.8,[160.30286],,
176.7,[172.60529],,
177.4,[176.3143],,
170.6,[163.95319],,
212.4,[208.26378],,
167.0,[159.01685],,
193.0,[182.53076],,
192.8,[202.75136],,
199.3,[202.2526],,
159.5,[156.5229],,
173.3,[165.80606],,
164.9,[154.99284],,
173.0,[171.70079],,
177.8,[174.34409],,
178.9,[173.5199],,
163.0,[152.71413],,
182.0,[174.96622],,
214.4,[204.83891],,
163.0,[156.24214],,
191.3,[194.84862],,
181.6,[188.21666],,
204.6,[202.70758],,
179.4,[176.83429],,
158.4,[166.69026],,
185.2,[180.6071],,
173.3,[171.46312],,
178.7,[182.64917],,
207.4,[198.86574],,
176.0,[171.9703],,
238.0,[225.40883],,
161.1,[161.32562],,
203.9,[201.21925],,
156.1,[162.62613],,
150.5,[154.81204],,
155.9,[168.45674],,
157.8,[153.64517],,
187.2,[188.11981],,
210.2,[208.71678],,
162.6,[161.00792],,
188.4,[191.38556],,
160.0,[161.8876],,
179.4,[172.1543],,
180.0,[171.36876],,
179.4,[177.78459],,
140.0,[163.2291],,
176.7,[180.3272],,
163.2,[156.20847],,
165.0,[177.13109],,
171.6,[168.02882],,
192.1,[191.93976],,
203.6,[204.88637],,
191.9,[191.89671],,
193.4,[191.39236],,
184.7,[181.44296],,
183.4,[175.88466],,
157.2,[171.8906],,
172.1,[175.75903],,
203.3,[204.9796],,
167.0,[165.74146],,
152.8,[161.14365],,
165.9,[161.29707],,
160.2,[152.91342],,
159.6,[162.07368],,
161.4,[171.3363],,
166.3,[153.9333],,
242.4,[228.56305],,
176.6,[174.14073],,
175.4,[171.54285],,
164.7,[169.19797],,
184.8,[189.87424],,
190.9,[182.38457],,
182.9,[178.28076],,
201.5,[194.32092],,
161.8,[165.65944],,
177.8,[174.03003],,
159.5,[158.94421],,
161.5,[169.59407],,
201.2,[201.28185],,
218.0,[212.12573],,
176.6,[179.95802],,
163.5,[169.02716],,
162.4,[158.9855],,
181.4,[179.24353],,
182.6,[175.299],,
174.8,[170.91653],,
184.7,[178.35391],,
168.1,[161.83249],,
162.7,[164.58195],,
172.0,[176.63403],,
178.1,[174.66548],,
203.4,[203.52989],,
175.9,[166.54688],,
179.5,[177.17503],,
154.0,[169.32614],,
195.6,[190.25061],,
157.2,[151.2217],,
167.3,[169.34007],,
169.4,[173.24234],,
188.0,[186.4088],,
213.5,[215.22641],,
179.9,[175.34244],,
165.1,[169.65419],,
156.3,[155.26523],,
181.7,[185.98233],,
157.1,[151.92117],,
166.1,[162.54471],,
168.0,[167.35675],,
204.0,[197.07257],,
164.0,[173.829],,
156.9,[174.922],,
175.8,[172.8039],,
207.1,[208.21132],,
155.8,[157.0171],,
154.2,[156.14737],,
158.9,[158.0539],,
170.1,[164.35437],,
191.9,[192.46107],,
193.6,[198.06313],,
182.4,[181.23422],,
177.1,[169.29698],,
165.1,[172.53694],,
192.4,[191.77385],,
212.8,[216.29146],,
159.0,[164.65717],,
217.7,[208.9584],,
229.7,[225.40883],,
176.2,[174.01492],,
182.9,[188.44264],,
183.3,[173.51329],,
186.9,[182.20602],,
195.0,[183.37181],,
174.2,[167.6855],,
219.8,[221.55916],,
189.6,[184.94688],,
161.3,[158.3011],,
172.5,[167.48128],,
176.0,[185.64258],,
176.4,[169.30176],,
176.9,[169.8275],,
168.3,[175.3821],,
186.7,[184.47792],,
186.0,[186.92099],,
179.6,[174.20352],,
195.5,[194.85277],,
166.2,[168.99681],,
198.4,[196.1687],,
158.3,[164.04979],,
172.5,[167.29745],,
188.1,[189.27893],,
199.1,[192.96986],,
168.8,[164.14941],,
183.1,[177.2108],,
158.1,[151.85512],,
188.7,[183.3544],,
195.7,[199.12042],,
154.0,[157.10034],,
166.8,[161.20543],,
171.4,[180.17204],,
161.4,[170.69064],,
203.1,[204.08719],,
190.9,[185.13564],,
165.7,[168.1146],,
176.5,[173.6012],,
186.7,[185.94472],,
193.1,[184.65167],,
164.1,[166.85509],,
172.8,[164.91519],,
178.0,[178.31384],,
194.2,[193.29686],,
160.0,[162.06706],,
200.3,[202.26794],,
175.4,[168.55899],,
156.9,[174.13306],,
172.8,[168.38795],,
187.0,[176.89218],,
183.3,[183.28549],,
187.3,[179.67331],,
167.0,[157.0391],,
171.0,[159.41437],,
220.0,[202.34053],,
159.4,[154.3695],,
177.5,[183.7097],,
161.1,[165.32404],,
203.8,[199.16716],,
203.1,[209.21544],,
157.2,[158.66418],,
167.0,[163.2947],,
159.2,[158.82253],,
186.0,[189.20119],,
168.1,[174.10384],,
206.8,[205.35239],,
163.1,[164.35977],,
163.3,[160.17365],,
154.9,[155.79979],,
