train accuracy,eval accuracy,train loss,eval loss
0.0,0.0,0.40670904517173767,0.29496267437934875
0.0,0.0,0.31501156091690063,0.31224799156188965
0.0,0.0,0.30797839164733887,0.26902610063552856
0.0,0.0,0.28483912348747253,0.27814781665802
0.0,0.0,0.27115198969841003,0.22988468408584595
0.0,0.0,0.2471437305212021,0.2342270016670227
0.0,0.0,0.22286026179790497,0.19784022867679596
0.0,0.0,0.21649371087551117,0.21644900739192963
0.0,0.0,0.20159128308296204,0.17880745232105255
0.0,0.0,0.18484099209308624,0.1861644834280014
0.0,0.0,0.17872485518455505,0.16593459248542786
0.0,0.0,0.1749618500471115,0.1706424206495285
0.0,0.0,0.16992595791816711,0.16467852890491486
0.0,0.0,0.17722968757152557,0.15449358522891998
0.0,0.0,0.16986842453479767,0.15957312285900116
0.0,0.0,0.17355912923812866,0.21111658215522766
0.0,0.0,0.16985565423965454,0.18736490607261658
0.0,0.0,0.16858616471290588,0.1801493763923645
0.0,0.0,0.16304494440555573,0.16556476056575775
0.0,0.0,0.16723079979419708,0.2052677869796753
0.0,0.0,0.16537995636463165,0.16221310198307037
0.0,0.0,0.16048836708068848,0.16013631224632263
0.0,0.0,0.17070919275283813,0.16351783275604248
0.0,0.0,0.17224399745464325,0.1669781357049942
0.0,0.0,0.15866556763648987,0.14391550421714783
0.0,0.0,0.16378027200698853,0.16260915994644165
0.0,0.0,0.1628124713897705,0.1556953638792038
0.0,0.0,0.1692233830690384,0.1691911667585373
0.0,0.0,0.16399696469306946,0.15091773867607117
0.0,0.0,0.16416263580322266,0.1526055932044983
0.0,0.0,0.1621272712945938,0.1568250209093094
0.0,0.0,0.1699325144290924,0.14407457411289215
0.0,0.0,0.15628159046173096,0.15659120678901672
0.0,0.0,0.16161604225635529,0.15016281604766846
0.0,0.0,0.16077518463134766,0.15073838829994202
0.0,0.0,0.15821367502212524,0.14616630971431732
0.0,0.0,0.15737736225128174,0.14784538745880127
0.0,0.0,0.15914678573608398,0.1537669152021408
0.0,0.0,0.16452518105506897,0.15271060168743134
0.0,0.0,0.15817025303840637,0.15154455602169037
0.0,0.0,0.15981081128120422,0.15487895905971527
0.0,0.0,0.15649418532848358,0.1635705530643463
0.0,0.0,0.15819129347801208,0.138095423579216
0.0,0.0,0.16253583133220673,0.14237530529499054
0.0,0.0,0.15829108655452728,0.14126771688461304
0.0,0.0,0.14797163009643555,0.1685420125722885
0.0,0.0,0.14994247257709503,0.14601317048072815
0.0,0.0,0.1521720588207245,0.14358173310756683
0.0,0.0,0.1496659219264984,0.13740617036819458
0.0,0.0,0.15240149199962616,0.1643388271331787
0.0,0.0,0.15742748975753784,0.14601735770702362
0.0,0.0,0.15670400857925415,0.15592679381370544
0.0,0.0,0.15368328988552094,0.1651422083377838
0.0,0.0,0.1462676078081131,0.16472110152244568
0.0,0.0,0.15412253141403198,0.14036542177200317
0.0,0.0,0.1502336859703064,0.1472155749797821
